personID INT primary key IDENTITY(1,1),firstname VARCHAR(256),lastname VARCHAR(256),numFlight INT,totalFlightTime INT
164,George ,Nelson,3,17
165,Georgi ,Beregovoi,1,3
166,Georgi ,Dobrovolski,1,23
167,Georgi ,Grechko,3,134
168,Georgi ,Ivanov,1,1
169,Georgi ,Shonin,1,4
170,Gerald ,P. Carr,1,84
171,Gerhard ,Thiele,1,11
172,Gherman ,Titov,1,1
173,Gregory ,B. Jarvis,1,0
174,Gregory ,C. Johnson,1,12
175,Gregory ,Chamitoff,2,198
176,Gregory ,H. Johnson,2,31
177,Gregory ,Harbaugh,4,34
178,Gregory ,Linteris,2,19
179,Gregory ,Olsen,1,9
180,Gregory ,R. Wiseman,1,165
181,Guion ,Bluford,4,28
182,Guy ,Gardner,2,13
183,Guy ,Lalibert,1,10
184,Hans ,Schlegel,2,22
185,Harrison ,Schmitt,1,12
186,Hazza ,Al Mansouri,1,7
187,Heidemarie ,Stefanyshyn-Piper,2,27
188,Helen ,Sharman,1,7
189,Henry ,Hartsfield,3,20
190,Igor ,Volk,1,11
191,Ilan ,Ramon,1,15
192,Ivan ,Bella,1,7
193,Ivan ,Vagner,1,145
194,Jack ,D. Fischer,1,135
195,Jack ,Lousma,2,67
196,James ,"""Ox"" van Hoften",2,14
197,James ,Adamson,2,13
198,James ,Buchli,4,20
199,James ,Dutton,1,15
200,James ,F. Reilly,3,35
201,James ,H. Newman,4,43
202,James ,Halsell,5,52
203,James ,Irwin,1,12
204,James ,M. Kelly,2,26
205,James ,McDivitt,2,14
206,James ,P. Bagian M.D.,2,14
207,James ,Pawelczyk,1,15
208,James ,Voss,5,202
209,James ,Wetherbee,6,68
210,Janet ,L. Kavandi,3,33
211,Janice ,Voss,5,49
212,Jay ,C. Buckey M.D.,1,15
213,Jean-Fran̤ois ,Clervoy EAC,3,29
214,Jean-Jacques ,Favier,1,16
215,Jean-Loup ,Chr̩tien,3,44
216,Jean-Pierre ,Haigner̩ EAC,2,109
217,Jeffrey ,Ashby,3,27
218,Jeffrey ,Hoffman,5,50
219,Jeffrey ,Williams,4,534
220,Jerome ,Apt,4,35
221,Jerry ,L. Ross,7,58
222,Jerry ,Linenger,2,143
223,Jessica ,Meir,1,204
224,Jim ,Lovell,4,29
225,Jing ,Haipeng,3,47
226,Joan ,Higginbotham,1,12
227,Joe ,Edwards,1,8
228,Joe ,H. Engle,2,9
229,John ,Jack Swigert,1,5
230,John ,Blaha,5,161
231,John ,Casper,4,34
232,John ,D. Olivas,2,27
233,John ,Fabian,2,13
234,John ,Glenn,2,9
235,John ,Grunsfeld,5,59
236,John ,Herrington,1,14
237,John ,Lounge,3,20
238,John ,O. Creighton,3,16
239,John ,Phillips,3,203
240,John ,Young,6,34
241,John-David ,F. Bartoe,1,7
242,Jon ,McBride,1,8
243,Joseph ,A. Walker,2,0
244,Joseph ,Kerwin M.D.,1,28
245,Joseph ,M. Acaba,3,305
246,Joseph ,P. Allen,2,13
247,Joseph ,Tanner,4,43
248,Jose,Hernandez,1,13
249,Judith ,Resnik,2,6
250,Julie ,Payette,2,25
251,Jagderdemidiin ,Gorragchaa,1,7
252,K. ,Megan McArthur,1,12
253,Kalpana ,Chawla,2,31
254,Karen ,Nyberg,2,180
255,Karl ,Henize,1,7
256,Karol ,Bobko,3,16
257,Kathleen ,Rubins,1,115
258,Kathryn ,Hire,2,29
259,Kathryn ,Sullivan,3,22
260,Kathryn ,Thornton,4,40
261,Kenneth ,Bowersox,5,212
262,Kenneth ,Cockrell,5,64
263,Kenneth ,D. Cameron,3,23
264,Kenneth ,Ham,2,25
265,Kenneth ,Reightler,2,13
266,Kent ,Rominger,5,66
267,Kevin ,A. Ford,2,157
268,Kevin ,Kregel,4,52
269,Kevin ,P. Chilton,3,29
270,Kimiya ,Yui,1,141
271,Kjell ,N. Lindgren,1,141
272,Klaus-Dietrich ,Flade,1,175
273,Koichi ,Wakata,4,347
274,Konstantin ,Feoktistov,1,1
275,Konstantin ,Kozeyev,1,9
276,L. ,Gordon Cooper Jr.,2,9
277,Laurel ,B. Clark M.D.,1,15
278,Lawrence ,J. DeLucas,1,13
279,Lee ,Archambault,2,26
280,Lee ,Morin,1,10
281,Leland ,D. Melvin,2,23
282,Leonid ,Kadeniuk,1,15
