fundID INTEGER primary key IDENTITY(1,1),projectID INTEGER references projects on delete cascade,agencyAcr VARCHAR(256),cost FLOAT
452,616,ULA,109,
453,617,Arianespace,200,
454,619,ULA,109,
455,621,MHI,90,
456,622,VKS RF,41.8,
457,623,Arianespace,200,
458,625,ULA,120,
459,627,Arianespace,80,
460,628,Arianespace,200,
461,630,SpaceX,59.5,
462,631,ULA,164,
463,632,Arianespace,200,
464,634,ULA,109,
465,635,ISRO,21,
466,636,ULA,109,
467,638,Arianespace,200,
468,639,VKS RF,41.8,
469,640,MHI,112.5,
470,641,Arianespace,200,
471,642,ULA,350,
472,643,ULA,109,
473,645,Northrop,40,
474,648,SpaceX,59.5,
475,649,MHI,90,
476,650,Arianespace,200,
477,651,ULA,140,
478,652,ISRO,31,
479,653,ISRO,31,
480,657,ULA,153,
481,658,ESA,37,
482,661,Arianespace,80,
483,662,MHI,90,
484,663,ULA,145,
485,668,ISRO,21,
486,671,Northrop,46,
487,673,MHI,90,
488,674,Arianespace,200,
489,675,MHI,90,
490,677,Kosmotras,29,
491,678,Arianespace,200,
492,679,ULA,153,
493,681,ULA,164,
494,682,ISRO,31,
495,683,NASA,450,
496,684,Northrop,40,
497,687,Arianespace,200,
498,688,NASA,450,
499,689,ULA,109,
500,690,Arianespace,200,
501,691,ISRO,25,
502,692,ULA,115,
503,693,ULA,164,
504,694,ULA,120,
505,695,Northrop,45,
506,696,NASA,450,
507,698,Northrop,40,
508,699,VKS RF,41.8,
509,700,MHI,112.5,
510,701,ULA,350,
511,703,Arianespace,200,
512,704,ISRO,47,
513,705,SpaceX,59.5,
514,706,Arianespace,200,
515,707,ULA,350,
516,708,Northrop,46,
517,710,Arianespace,200,
518,712,Northrop,46,
519,713,ULA,120,
520,714,VKS RF,41.8,
521,715,ULA,140,
522,716,Arianespace,200,
523,717,ISRO,21,
524,718,Arianespace,200,
525,720,Kosmotras,29,
526,721,Kosmotras,29,
527,723,SpaceX,59.5,
528,724,Eurockot,41.8,
529,725,ULA,164,
530,726,Arianespace,200,
531,727,NASA,450,
532,728,MHI,90,
533,731,ULA,120,
534,732,ISRO,47,
535,733,Kosmotras,29,
536,734,NASA,450,
537,736,ULA,164,
538,737,ULA,109,
539,738,NASA,450,
540,744,MHI,90,
541,745,ULA,130,
542,746,NASA,450,
543,747,Eurockot,41.8,
544,748,Arianespace,200,
545,749,NASA,450,
546,750,ULA,109,
547,752,Arianespace,200,
548,754,ISRO,21,
549,755,MHI,112.5,
550,756,ULA,109,
551,757,NASA,450,
552,759,Arianespace,200,
553,761,Kosmotras,29,
554,763,NASA,450,
555,764,SpaceX,7,
556,765,VKS RF,41.8,
557,766,Arianespace,200,
558,767,ULA,164,
559,769,ULA,123,
560,770,Northrop,40,
561,771,Arianespace,200,
562,772,NASA,450,
563,775,ISRO,21,
564,777,ULA,123,
565,779,Eurockot,41.8,
566,780,NASA,450,
567,783,Northrop,45,
568,784,Arianespace,200,
569,788,MHI,90,
570,789,ULA,350,
571,790,Arianespace,200,
572,792,NASA,450,
573,793,CASC,29.75,
574,794,CASC,29.75,
575,795,CASC,29.15,
576,797,CASC,64.68,
577,798,ISRO,31,
578,799,Northrop,40,
579,800,Kosmotras,29,
580,801,SpaceX,5,
581,806,Kosmotras,29,
582,808,Arianespace,200,
583,809,SpaceX,7,
584,812,Arianespace,200,
585,815,Arianespace,200,
586,818,NASA,450,
587,819,CASC,64.68,
588,820,VKS RF,41.8,
589,823,ISRO,21,
590,824,CASC,20.14,
