spacecraftUsedID INTEGER,projectID INTEGER ,launcherName VARCHAR(256),spacecraftName VARCHAR(256)
609,609,Delta IV Medium+ (54) ,WGS-5
610,610,Atlas V 401 ,GPS IIF-4
611,611,Vega ,Proba-V
612,612,Antares 110 ,Antares A-ONE
613,613,Atlas V 401 ,SBIRS GEO-2
614,614,Falcon 9 v1.0 ,CRS-2
615,615,PSLV-CA ,SARAL 
616,616,Atlas V 401 ,Landsat 8
617,617,Ariane 5 ECA ,Amazonas-3
618,618,Zenit-3 SL ,Intelsat-27
619,619,Atlas V 401 ,TDRS-K
620,620,Naro-1 ,STSAT-2C
621,621,H-IIA 202 ,IGS-Optical 5V 
622,622,Rokot/Briz KM ,Cosmos 2482 to 2484
623,623,Ariane 5 ECA ,Skynet 5D
624,624,Unha-3 ,KwangmyÂÂngsÂÂng-3 (Unit 2)
625,625,Atlas V 501 ,OTV-3
626,626,Zenit-3 SL ,Eutelsat-70B
627,627,Soyuz ST-A/Fregat ,Pl??iades 1B
628,628,Ariane 5 ECA ,Eutelsat 21B
629,629,Soyuz ST-B/Fregat-MT ,Galileo IOV FM03-FM04
630,630,Falcon 9 v1.0 ,CRS-1
631,631,Delta IV Medium+ (42) ,GPS IIF-3
632,632,Ariane 5 ECA ,Astra 2F
633,633,Safir-1B+ ,Unknown Payload
634,634,Atlas V 401 ,NROL-36
635,635,PSLV-CA ,SPOT-6 
636,636,Atlas V 401 ,Van Allen Probes (RBSP)
637,637,Zenit-3 SL ,Intelsat-21
638,638,Ariane 5 ECA ,Intelsat 20
639,639,Rokot/Briz KM ,Cosmos 2481 
640,640,H-IIB ,HTV-3
641,641,Ariane 5 ECA ,EchoStar XVII
642,642,Delta IV Heavy ,NROL-15
643,643,Atlas V 401 ,NROL-38
644,644,Long March 2F/G ,Shenzhou 9
645,645,Pegasus XL ,NuSTAR
646,646,Zenit-3 SL ,Intelsat-19
647,647,Safir-1B+ ,Unknown Payload
648,648,Falcon 9 v1.0 ,COTS-2+
649,649,H-IIA 202 ,Shizuku
650,650,Ariane 5 ECA ,JCSAT-13
651,651,Atlas V 531 ,AEHF-2
652,652,PSLV-XL ,RISAT-1
653,653,PSLV-XL ,PSLV- C19 RISAT-1
654,654,Unha-3 ,KwangmyÂÂngsÂÂng-3
655,655,Delta IV Medium+ (52) ,NROL-25
656,656,Ariane 5 ES ,Edoardo Amaldi ATV
657,657,Atlas V 551 ,MUOS-1
658,658,Vega ,Lares
659,659,Safir-1B ,Navid
660,660,Delta IV Medium+ (54) ,WGS-4
661,661,Soyuz ST-A/Fregat ,Pl??iades 1A
662,662,H-IIA 202 ,IGS-Radar 3
663,663,Atlas V 541 ,Mars Science Laboratory
664,664,Zenit-2 FG ,Fobos-Grunt 
665,665,Long March 2F/G ,Shenzhou 8
666,666,Delta II 7920-10C ,Suomi NPP / ELaNa III
667,667,Soyuz ST-B/Fregat-MT ,Galileo IOV FM01-FM02
668,668,PSLV-CA ,Megha-Tropiques 
669,669,Zenit-3 SLB ,Intelsat 18
670,670,Long March 2F/T ,Tiangong-1
671,671,Minotaur IV ,TacSat-4
