flightID INTEGER primary key IDENTITY(1,1),spacecraftName VARCHAR(256),personID INTEGER references astronaut on delete cascade,flightYear INTEGER
417,Apollo 17 ,417,1972
418,STS-124 ,418,2008
419,STS-51-J ,419,1985
420,STS-41-B ,420,1984
421,STS-60 ,421,1994
422,STS-51-F ,422,1985
423,Apollo 9 ,423,1969
424,STS-51-L ,424,1986
425,STS-89 ,425,1998
426,STS-7 ,426,1983
427,Soyuz TMA-15M ,427,2014
428,STS-35 ,428,1990
429,STS-112 ,429,2002
430,Soyuz TMA-02M ,430,2011
431,STS-90 ,431,1998
432,Mercury-Atlas 7 ,432,1962
433,Soyuz MS-07 ,433,2017
434,STS-75 ,434,1996
435,STS-103 ,435,1999
436,STS-66 ,436,1994
437,Soyuz MS-09 ,437,2018
438,Soyuz TM-15 ,438,1992
439,Soyuz TM-7 ,439,1988
440,Soyuz TMA-04M ,440,2012
441,Soyuz TMA-10M ,441,2013
442,STS-111 ,442,2002
443,Soyuz TM-30 ,443,2000
444,Soyuz MS-02 ,444,2016
445,Soyuz MS-09 ,445,2018
446,Soyuz TMA-12 ,446,2008
447,STS-51-G ,447,1985
448,Soyuz TMA-19 ,448,2010
449,Soyuz TMA-11 ,449,2007
450,STS-61-B ,450,1985
451,STS-40 ,451,1991
452,Soyuz 31 ,452,1978
453,STS-114 ,453,2005
454,STS-33 ,454,1989
455,STS-122 ,455,2008
456,STS-121 ,456,2006
457,STS-110 ,457,2002
458,STS-126 ,458,2008
459,STS-42 ,459,1992
460,STS-85 ,460,1997
461,STS-41-D ,461,1984
462,STS-87 ,462,1997
463,STS-52 ,463,1992
464,STS-51-G ,464,1985
465,STS-68 ,465,1994
466,STS-117 ,466,2007
467,STS-6 ,467,1983
468,Apollo 14 ,468,1971
469,STS-51-G ,469,1985
470,STS-116 ,470,2006
471,STS-54 ,471,1993
472,STS-83 ,472,1997
473,Soyuz T-7 ,473,1982
474,STS-87 ,474,1997
475,Soyuz MS-01 ,475,2016
476,Soyuz TM-19 ,476,1994
477,STS-40 ,477,1991
478,STS-51-B ,478,1985
479,STS-44 ,479,1991
480,STS-68 ,480,1994
481,STS-41-C ,481,1984
482,STS-130 ,482,2010
483,STS-41 ,483,1990
484,STS-59 ,484,1994
485,STS-44 ,485,1991
486,Apollo 16 ,486,1972
487,STS-127 ,487,2009
488,Gemini 6A ,488,1965
489,Soyuz MS-03 ,489,2016
490,Soyuz TM-22 ,490,1995
491,Soyuz TMA-17 ,491,2009
492,STS-127 ,492,2009
493,Soyuz TMA-19M ,493,2015
494,Soyuz TM-13 ,494,1991
495,STS-118 ,495,2007
496,STS-9 ,496,1983
497,STS-55 ,497,1993
498,STS-75 ,498,1996
499,Soyuz 13 ,499,1973
500,Vostok 6 ,500,1963
501,Soyuz 6 ,501,1969
502,Soyuz TM-6 ,502,1988
503,Vostok 5 ,503,1963
504,Soyuz TM-24 ,504,1996
505,Soyuz 23 ,505,1976
506,Soyuz 25 ,506,1977
507,STS-96 ,507,1999
508,Apollo-Soyuz Test Project ,508,1975
509,Soyuz 12 ,509,1973
510,Soyuz TM-17 ,510,1993
511,Soyuz 7 ,511,1969
512,Soyuz TM-11 ,512,1990
513,Soyuz 11 ,513,1971
514,Soyuz T-4 ,514,1981
515,Mercury-Redstone 4 ,515,1961
516,Soyuz 9 ,516,1970
517,Soyuz 21 ,517,1976
518,Soyuz 22 ,518,1976
519,Soyuz 27 ,519,1978
520,Voskhod 1 ,520,1964
521,Soyuz 25 ,521,1977
522,Soyuz 32 ,522,1979
523,Soyuz TM-21 ,523,1995
524,Soyuz 4 ,524,1969
525,Soyuz T-10 ,525,1984
526,Soyuz T-8 ,526,1983
527,Soyuz T-14 ,527,1985
528,Soyuz 28 ,528,1978
529,Soyuz 7 ,529,1969
530,Soyuz 23 ,530,1976
531,Apollo 7 ,531,1968
532,Mercury-Atlas 8 ,532,1962
533,Shenzhou 10 ,533,2013
534,STS-67 ,534,1995
535,Apollo 8 ,535,1968
536,STS-5 ,536,1982
537,STS-107 ,537,2003
538,STS-8 ,538,1983
539,STS-51-I ,539,1985
540,STS-67 ,540,1995
541,STS-116 ,541,2006
542,STS-51-J ,542,1985
543,Skylab 4 ,543,1973
544,STS-42 ,544,1992
545,STS-58 ,545,1993
546,STS-27 ,546,1988
547,STS-72 ,547,1996
548,STS-61-A ,548,1985
549,Shenzhou 5 ,549,2003
550,Soyuz TM-20 ,550,1994
551,Soyuz TMA-14M ,551,2014
552,Soyuz 5 ,552,1969
553,Soyuz TMA-12 ,553,2008
554,Soyuz 14 ,554,1974
555,Soyuz TM-28 ,555,1998
556,Vostok 1 ,556,1961
557,Soyuz TM-22 ,557,1995
558,Soyuz 24 ,558,1977
559,STS-100 ,559,2001
560,Soyuz TM-19 ,560,1994
561,Soyuz T-2 ,561,1980
562,Soyuz TM-23 ,562,1996
563,Soyuz 26 ,563,1977
564,Soyuz TMA-5 ,564,2004
565,Soyuz TM-18 ,565,1994
566,Shenzhou 7 ,566,2008
567,Shenzhou 10 ,567,2013
568, Soyuz TMA-05M ,2,2012
569, Skylab 3 ,3,1973
570, STS-131 ,4,2010
571, Apollo 14 ,5,1971
572, Soyuz MS-06 ,12,2017
573, Soyuz TM-3 ,13,1987
574, Soyuz TMA-14M ,14,2014
575, Soyuz T-8 ,15,1983
576, Soyuz TMA-12M ,16,2014
577, Soyuz 28 ,17,1978
578, Soyuz 19 ,18,1975
579, Soyuz 8 ,19,1969
580, Soyuz MS-12 ,20,2019
581, Soyuz MS-09 ,21,2018
582, Soyuz TM-24 ,22,1996
583, Soyuz TM-8 ,24,1989
584, Soyuz TM-7 ,25,1988
585, Soyuz MS-01 ,28,2016
586, Soyuz 16 ,31,1974
587, Soyuz TM-9 ,32,1990
588, Soyuz MS-02 ,34,2016
589, STS-134 ,35,2011
590, STS-62 ,36,1994
591, STS-89 ,38,1998
592, Soyuz 9 ,39,1970
593, Soyuz TMA-03M ,40,2011
594, Soyuz TMA-15M ,45,2014
595, STS-133 ,48,2011
596, Soyuz TMA-14M ,50,2014
597, STS-63 ,51,1995
598, STS-32 ,54,1990
599, Soyuz 21 ,56,1976
600, STS-81 ,58,1997
601, STS-61-B ,59,1985
602, STS-57 ,61,1993
603, STS-31 ,62,1990
604, STS-49 ,63,1992
605, STS-40 ,64,1991
606, Apollo 11 ,65,1969
607, STS-45 ,66,1992
608, STS-50 ,67,1992
609, STS-65 ,68,1994
610, STS-97 ,69,2000
611, STS-93 ,70,1999
612, Gemini 11 ,71,1966
613, STS-31 ,72,1990
614, STS-51-D ,74,1985
615, STS-51-F ,77,1985
616, STS-48 ,78,1991
617, STS-108 ,79,2001
618, STS-71 ,80,1995
619, Soyuz TMA-14 ,81,2009
620, STS-52 ,82,1992
621, STS-95 ,84,1998
622, STS-100 ,85,2001
623, STS-128 ,86,2009
624, Soyuz TMA-08M ,88,2013
625, STS-126 ,89,2008
626, STS-61 ,90,1993
627, Soyuz TM-33 ,91,2001
628, STS-131 ,92,2010
629, STS-66 ,93,1994
630, STS-118 ,94,2007
631, STS-51-A ,95,1984
632, STS-96 ,96,1999
633, STS-51-G ,97,1985
634, STS-115 ,98,2006
635, STS-68 ,99,1994
636, STS-120 ,100,2007
637, STS-26 ,102,1988
638, STS-28 ,103,1989
639, STS-30 ,105,1989
640, Apollo 9 ,107,1969
641, STS-86 ,108,1997
642, STS-132 ,113,2010
643, STS-99 ,114,2000
644, STS-54 ,117,1993
645, STS-126 ,119,2008
646, STS-70 ,120,1995
647, STS-34 ,121,1989
648, STS-135 ,124,2011
649, Soyuz TMA-19 ,125,2010
650, STS-106 ,130,2000
651, STS-84 ,133,1997
652, STS-66 ,134,1994
653, STS-50 ,135,1992
654, STS-133 ,137,2011
655, Apollo 10 ,139,1969
656, Apollo 8 ,145,1968
657, Soyuz TMA-15 ,146,2009
658, STS-51 ,147,1993
659, STS-34 ,148,1989
660, STS-33 ,151,1989
661, STS-51-A ,152,1984
662, STS-105 ,153,2001
663, Soyuz TMA-10 ,155,2007
664, STS-43 ,156,1991
665, STS-132 ,157,2010
666, Soyuz TM-16 ,159,1993
667, Soyuz TMA-4 ,161,2004
668, Soyuz T-8 ,162,1983
669, STS-130 ,163,2010
670, STS-61-C ,164,1986
671, Soyuz 26 ,167,1977
672, STS-134 ,175,2011
673, STS-134 ,176,2011
674, STS-54 ,177,1993
675, STS-94 ,178,1997
676, STS-61-A ,181,1985
677, STS-35 ,182,1990
678, STS-122 ,184,2008
679, STS-126 ,187,2008
680, STS-41-D ,189,1984
681, STS-3 ,195,1982
682, STS-51-I ,196,1985
683, STS-43 ,197,1991
684, STS-61-A ,198,1985
685, STS-104 ,200,2001
686, STS-69 ,201,1995
687, STS-74 ,202,1995
688, STS-114 ,204,2005
689, Apollo 9 ,205,1969
690, STS-40 ,206,1991
691, STS-53 ,208,1992
692, STS-52 ,209,1992
693, STS-99 ,210,2000
694, STS-63 ,211,1995
695, STS-84 ,213,1997
696, Soyuz TM-7 ,215,1988
697, Soyuz TM-29 ,216,1999
698, STS-100 ,217,2001
699, STS-35 ,218,1990
700, Soyuz TMA-8 ,219,2006
701, STS-47 ,220,1992
702, STS-27 ,221,1988
703, STS-81 ,222,1997
704, Gemini 12 ,224,1966
705, Shenzhou 9 ,225,2012
706, STS-51-I ,228,1985
707, STS-33 ,230,1989
708, STS-54 ,231,1993
709, STS-128 ,232,2009
710, STS-51-G ,233,1985
711, STS-95 ,234,1998
712, STS-81 ,235,1997
713, STS-26 ,237,1988
714, STS-36 ,238,1990
715, Soyuz TMA-6 ,239,2005
716, Gemini 10 ,240,1966
717, X-15 flight 91 ,243,1963
718, Soyuz TMA-04M ,245,2012
719, STS-51-A ,246,1984
720, STS-82 ,247,1997
721, STS-51-L ,249,1986
722, STS-127 ,250,2009
723, STS-107 ,253,2003
724, Soyuz TMA-09M ,254,2013
725, STS-51-D ,256,1985
726, STS-130 ,258,2010
727, STS-31 ,259,1990
728, STS-49 ,260,1992
729, STS-61 ,261,1993
730, STS-69 ,262,1995
731, STS-56 ,263,1993
732, STS-132 ,264,2010
733, STS-60 ,265,1994
734, STS-80 ,266,1996
735, Soyuz TMA-06M ,267,2012
736, STS-78 ,268,1996
737, STS-59 ,269,1994
738, STS-92 ,273,2000
739, Gemini 5 ,276,1965
740, STS-119 ,279,2009
741, STS-129 ,281,2009
742, Soyuz T-10 ,283,1984
743, Soyuz 40 ,284,1981
744, STS-72 ,285,1996
745, STS-59 ,287,1994
746, STS-64 ,292,1994
747, STS-31 ,295,1990
748, Soyuz MS-13 ,296,2019
749, STS-122 ,297,2008
750, Soyuz TMA-13M ,299,2014
751, STS-99 ,300,2000
752, STS-77 ,301,1996
753, STS-54 ,303,1993
754, STS-48 ,304,1991
755, STS-47 ,305,1992
756, STS-121 ,306,2006
757, STS-116 ,307,2006
758, STS-46 ,310,1992
759, STS-101 ,312,2000
760, STS-30 ,313,1989
761, STS-52 ,315,1992
762, STS-29 ,316,1989
763, Apollo 11 ,317,1969
764, Soyuz TMA-13 ,318,2008
765, STS-56 ,319,1993
766, STS-129 ,320,2009
767, STS-124 ,321,2008
768, STS-83 ,322,1997
769, STS-97 ,323,2000
770, STS-92 ,326,2000
771, STS-125 ,327,2009
772, SpaceShipOne flight 16P ,328,2004
773, STS-107 ,329,2003
774, STS-133 ,330,2011
775, STS-59 ,331,1994
776, STS-132 ,333,2010
777, STS-93 ,334,1999
778, Soyuz TMA-16M ,335,2015
779, Soyuz TMA-9 ,336,2006
780, Soyuz TM-11 ,340,1990
781, STS-70 ,341,1995
782, STS-60 ,342,1994
783, Apollo 11 ,344,1969
784, STS-130 ,345,2010
785, STS-133 ,347,2011
786, Soyuz TM-27 ,348,1998
787, Soyuz 16 ,349,1974
788, Shenzhou 10 ,350,2013
789, STS-51-B ,352,1985
790, Soyuz MS-08 ,353,2018
791, Soyuz TMA-03M ,355,2011
792, Soyuz TMA-17 ,356,2009
793, Soyuz 18-1 ,357,1975
794, Soyuz MS-03 ,358,2016
795, Soyuz TMA-20M ,359,2016
796, STS-9 ,360,1983
797, STS-112 ,361,2002
798, Soyuz TMA-20 ,362,2010
799, STS-117 ,364,2007
800, STS-113 ,365,2002
801, STS-6 ,368,1983
802, Soyuz 14 ,370,1974
803, Soyuz TMA-8 ,371,2006
804, Soyuz TMA-3 ,372,2003
805, Soyuz TMA-11 ,373,2007
806, STS-68 ,374,1994
807, Soyuz 18 ,375,1975
808, STS-49 ,378,1992
809, STS-121 ,379,2006
810, Soyuz MS-05 ,381,2017
811, STS-122 ,384,2008
812, STS-40 ,385,1991
813, Apollo 12 ,387,1969
814, STS-49 ,388,1992
815, STS-90 ,389,1998
816, STS-118 ,390,2007
817, STS-27 ,391,1988
818, STS-41 ,392,1990
819, STS-26 ,393,1988
820, Soyuz MS-08 ,394,2018
821, STS-76 ,395,1996
822, STS-8 ,396,1983
823, STS-107 ,397,2003
824, STS-7 ,398,1983
825, STS-98 ,399,2001
826, STS-53 ,400,1992
827, STS-130 ,402,2010
828, STS-61-C ,403,1986
829, STS-51-B ,404,1985
830, STS-35 ,405,1990
831, Soyuz MS-02 ,406,2016
832, STS-38 ,408,1990
833, STS-51-J ,409,1985
834, Soyuz TMA-15 ,410,2009
835, Soyuz TMA-6 ,412,2005
836, STS-94 ,414,1997
837, Soyuz TMA-07M ,415,2012
838, STS-67 ,416,1995
839, Soyuz TMA-21 ,418,2011
840, STS-30 ,419,1989
841, STS-76 ,421,1996
842, Soyuz TMA-5 ,425,2004
843, STS-41-G ,426,1984
844, STS-67 ,428,1995
845, STS-126 ,429,2008
846, STS-106 ,431,2000
847, STS-82 ,434,1997
848, STS-118 ,435,2007
849, STS-86 ,436,1997
850, Soyuz TM-22 ,438,1995
851, Soyuz TM-12 ,439,1991
852, Soyuz MS-05 ,441,2017
853, Soyuz TMA-1 ,443,2002
854, Soyuz TMA-02M ,446,2011
855, STS-34 ,447,1989
856, STS-59 ,451,1994
857, Soyuz TMA-17 ,453,2009
858, STS-120 ,456,2007
859, STS-122 ,457,2008
860, STS-132 ,458,2010
861, STS-56 ,459,1993
862, STS-95 ,460,1998
863, STS-61-C ,461,1986
864, STS-95 ,462,1998
865, STS-115 ,463,2006
866, STS-61-A ,464,1985
867, STS-82 ,465,1997
868, STS-119 ,466,2009
869, STS-51-F ,467,1985
870, Soyuz TMA-05M ,470,2012
871, STS-64 ,471,1994
872, STS-94 ,472,1997
873, Soyuz T-12 ,473,1984
874, STS-123 ,474,2008
