projectID INT,launchMonth VARCHAR(256),flightYear INT,launchLocation VARCHAR(256),countryName VARCHAR(256),missionStatus VARCHAR(256)
253,Apr,2018,Site 81/24 Baikonur Cosmodrome,Kazakhstan,Success
254,Apr,2018,SLC-41 Cape Canaveral AFS Florida,USA,Success
255,Apr,2018,First Launch Pad Satish Dhawan Space Centre,India,Success
256,Apr,2018,Site 9401 (SLS-2) Jiuquan Satellite Launch Center,China,Success
257,Apr,2018,ELA-3 Guiana Space Centre French Guiana,France,Success
258,Apr,2018,SLC-40 Cape Canaveral AFS Florida,USA,Success
259,Mar,2018,LC-9 Taiyuan Satellite Launch Center,China,Success
260,Mar,2018,SLC-4E Vandenberg AFB California,USA,Success
261,Mar,2018,LC-2 Xichang Satellite Launch Center,China,Success
262,Mar,2018,Site 43/4 Plesetsk Cosmodrome,Russia,Success
263,Mar,2018,Second Launch Pad Satish Dhawan Space Centre,India,Success
264,Mar,2018,Site 1/5 Baikonur Cosmodrome,Kazakhstan,Success
265,Mar,2018,Site 9401 (SLS-2) Jiuquan Satellite Launch Center,China,Success
266,Mar,2018,ELS Guiana Space Centre French Guiana,France,Success
267,Mar,2018,SLC-40 Cape Canaveral AFS Florida,USA,Success
268,Mar,2018,SLC-41 Cape Canaveral AFS Florida,USA,Success
269,Feb,2018,LA-Y1 Tanegashima Space Center,Japan,Success
270,Feb,2018,SLC-4E Vandenberg AFB California,USA,Success
271,Feb,2018,Site 31/6 Baikonur Cosmodrome,Kazakhstan,Success
272,Feb,2018,LC-2 Xichang Satellite Launch Center,China,Success
273,Feb,2018,LC-39A Kennedy Space Center Florida,USA,Success
274,Feb,2018,Uchinoura Space Center,Japan,Success
275,Feb,2018,Site 9401 (SLS-2) Jiuquan Satellite Launch Center,China,Success
276,Feb,2018,Site 1S Vostochny Cosmodrome,Russia,Success
277,Jan,2018,SLC-40 Cape Canaveral AFS Florida,USA,Success
278,Jan,2018,ELA-3 Guiana Space Centre French Guiana,France,Partial Failure
279,Jan,2018,LC-3 Xichang Satellite Launch Center,China,Success
280,Jan,2018,Rocket Lab LC-1A M?Âhia Peninsula,New Zealand,Success
281,Jan,2018,SLC-41 Cape Canaveral AFS Florida,USA,Success
282,Jan,2018,Site 95 Jiuquan Satellite Launch Center,China,Success
283,Jan,2018,Mu Pad Uchinoura Space Center,Japan,Success
284,Jan,2018,Site 9401 (SLS-2) Jiuquan Satellite Launch Center,China,Success
285,Jan,2018,SLC-6 Vandenberg AFB California,USA,Success
286,Jan,2018,First Launch Pad Satish Dhawan Space Centre,India,Success
287,Jan,2018,LC-2 Xichang Satellite Launch Center,China,Success
288,Jan,2018,LC-9 Taiyuan Satellite Launch Center,China,Success
289,Jan,2018,SLC-40 Cape Canaveral AFS Florida,USA,Success
290,Dec,2017,Site 45/1 Baikonur Cosmodrome,Kazakhstan,Success
291,Dec,2017,LC-3 Xichang Satellite Launch Center,China,Success
292,Dec,2017,Site 9401 (SLS-2) Jiuquan Satellite Launch Center,China,Success
293,Dec,2017,SLC-4E Vandenberg AFB California,USA,Success
294,Dec,2017,LA-Y1 Tanegashima Space Center,Japan,Success
295,Dec,2017,Site 1/5 Baikonur Cosmodrome,Kazakhstan,Success
296,Dec,2017,Blue Origin Launch Site West Texas Texas,USA,Success
297,Dec,2017,SLC-40 Cape Canaveral AFS Florida,USA,Success
298,Dec,2017,ELA-3 Guiana Space Centre French Guiana,France,Success
299,Dec,2017,LC-2 Xichang Satellite Launch Center,China,Success
300,Dec,2017,Site 9401 (SLS-2) Jiuquan Satellite Launch Center,China,Success
301,Dec,2017,Site 43/4 Plesetsk Cosmodrome,Russia,Success
302,Nov,2017,Site 1S Vostochny Cosmodrome,Russia,Failure
303,Nov,2017,LC-3 Xichang Satellite Launch Center,China,Success
304,Nov,2017,LC-16 Taiyuan Satellite Launch Center,China,Success
305,Nov,2017,SLC-2W Vandenberg AFB California,USA,Success
306,Nov,2017,LC-9 Taiyuan Satellite Launch Center,China,Success
307,Nov,2017,LP-0A Wallops Flight Facility Virginia,USA,Success
308,Nov,2017,ELV-1 (SLV) Guiana Space Centre French Guiana,France,Success
309,Nov,2017,LC-2 Xichang Satellite Launch Center,China,Success
